N      Pi
4096 3.14941
8192 3.11279
16384 3.11816
32768 3.13574
65536 3.14606
131072 3.15381
262144 3.13933
524288 3.13792
1048576 3.14326
2097152 3.14036
4194304 3.14201
8388608 3.14049
16777216 3.14134
33554432 3.1421
67108864 3.14157
134217728 3.14163
268435456 3.14167
536870912 3.1416


4096 1.5708
8192 2.36841
16384 2.75305
32768 2.94879
65536 3.04974
131072 3.09648
262144 3.12148
524288 3.13039
1048576 3.13651
2097152 3.13965
4194304 3.14028
8388608 3.14088
16777216 3.14106
33554432 3.14125
67108864 3.14153
134217728 3.14166
268435456 3.14162
536870912 3.14163
