
# Surface 0 of 1 surfaces

# Curve title: "f(x,y)"

# Contour 0, label:    7e+04
 4.94491 -2  70000 
 4.94973 -1.95181  70000 
 4.95456 -1.90361  70000 
 4.9594 -1.85542  70000 
 4.96425 -1.80723  70000 
 4.9691 -1.75904  70000 
 4.97397 -1.71084  70000 
 4.97884 -1.66265  70000 
 4.98373 -1.61446  70000 
 4.98862 -1.56627  70000 
 4.99352 -1.51807  70000 
 4.99843 -1.46988  70000 
 5 -1.45448  70000 


# Contour 1, label:  6.5e+04
 4.84667 -2  65000 
 4.85172 -1.95181  65000 
 4.85677 -1.90361  65000 
 4.85859 -1.88631  65000 
 4.8617 -1.85542  65000 
 4.86657 -1.80723  65000 
 4.87145 -1.75904  65000 
 4.87633 -1.71084  65000 
 4.88123 -1.66265  65000 
 4.88613 -1.61446  65000 
 4.89104 -1.56627  65000 
 4.89596 -1.51807  65000 
 4.9009 -1.46988  65000 
 4.90584 -1.42169  65000 
 4.91079 -1.37349  65000 
 4.91575 -1.3253  65000 
 4.92072 -1.27711  65000 
 4.92569 -1.22892  65000 
 4.92929 -1.19413  65000 
 4.93063 -1.18072  65000 
 4.93542 -1.13253  65000 
 4.94022 -1.08434  65000 
 4.94503 -1.03614  65000 
 4.94985 -0.987952  65000 
 4.95468 -0.939759  65000 
 4.95952 -0.891566  65000 
 4.96437 -0.843373  65000 
 4.96923 -0.795181  65000 
 4.97409 -0.746988  65000 
 4.97897 -0.698795  65000 
 4.98385 -0.650602  65000 
 4.98875 -0.60241  65000 
 4.99365 -0.554217  65000 
 4.99856 -0.506024  65000 
 5 -0.49195  65000 


# Contour 2, label:    6e+04
 4.74223 -2  60000 
 4.74729 -1.95181  60000 
 4.75235 -1.90361  60000 
 4.75743 -1.85542  60000 
 4.76251 -1.80723  60000 
 4.7676 -1.75904  60000 
 4.77271 -1.71084  60000 
 4.77782 -1.66265  60000 
 4.78295 -1.61446  60000 
 4.78788 -1.56818  60000 
 4.78808 -1.56627  60000 
 4.79301 -1.51807  60000 
 4.79795 -1.46988  60000 
 4.8029 -1.42169  60000 
 4.80786 -1.37349  60000 
 4.81283 -1.3253  60000 
 4.81781 -1.27711  60000 
 4.8228 -1.22892  60000 
 4.8278 -1.18072  60000 
 4.83281 -1.13253  60000 
 4.83782 -1.08434  60000 
 4.84285 -1.03614  60000 
 4.84789 -0.987952  60000 
 4.85294 -0.939759  60000 
 4.858 -0.891566  60000 
 4.85859 -0.885997  60000 
 4.86288 -0.843373  60000 
 4.86775 -0.795181  60000 
 4.87263 -0.746988  60000 
 4.87751 -0.698795  60000 
 4.88241 -0.650602  60000 
 4.88731 -0.60241  60000 
 4.89223 -0.554217  60000 
 4.89715 -0.506024  60000 
 4.90209 -0.457831  60000 
 4.90703 -0.409639  60000 
 4.91198 -0.361446  60000 
 4.91695 -0.313253  60000 
 4.92192 -0.26506  60000 
 4.92691 -0.216867  60000 
 4.92929 -0.193805  60000 
 4.93179 -0.168675  60000 
 4.93658 -0.120482  60000 
 4.94139 -0.0722892  60000 
 4.9462 -0.0240964  60000 
 4.95102  0.0240964  60000 
 4.95585  0.0722892  60000 
 4.96069  0.120482  60000 
 4.96554  0.168675  60000 
 4.9704  0.216867  60000 
 4.97527  0.26506  60000 
 4.98015  0.313253  60000 
 4.98504  0.361446  60000 
 4.98993  0.409639  60000 
 4.99484  0.457831  60000 
 4.99976  0.506024  60000 
 5  0.508371  60000 


# Contour 3, label:  5.5e+04
 4.63108 -2  55000 
 4.63635 -1.95181  55000 
 4.64163 -1.90361  55000 
 4.64646 -1.85961  55000 
 4.64691 -1.85542  55000 
 4.65199 -1.80723  55000 
 4.65708 -1.75904  55000 
 4.66218 -1.71084  55000 
 4.66729 -1.66265  55000 
 4.67241 -1.61446  55000 
 4.67754 -1.56627  55000 
 4.68268 -1.51807  55000 
 4.68784 -1.46988  55000 
 4.693 -1.42169  55000 
 4.69818 -1.37349  55000 
 4.70336 -1.3253  55000 
 4.70856 -1.27711  55000 
 4.71376 -1.22892  55000 
 4.71717 -1.19741  55000 
 4.7189 -1.18072  55000 
 4.72391 -1.13253  55000 
 4.72893 -1.08434  55000 
 4.73395 -1.03614  55000 
 4.73899 -0.987952  55000 
 4.74404 -0.939759  55000 
 4.74909 -0.891566  55000 
 4.75416 -0.843373  55000 
 4.75924 -0.795181  55000 
 4.76433 -0.746988  55000 
 4.76943 -0.698795  55000 
 4.77454 -0.650602  55000 
 4.77966 -0.60241  55000 
 4.78479 -0.554217  55000 
 4.78788 -0.525224  55000 
 4.78984 -0.506024  55000 
 4.79477 -0.457831  55000 
 4.79972 -0.409639  55000 
 4.80467 -0.361446  55000 
 4.80963 -0.313253  55000 
 4.8146 -0.26506  55000 
 4.81959 -0.216867  55000 
 4.82458 -0.168675  55000 
 4.82958 -0.120482  55000 
 4.8346 -0.0722892  55000 
 4.83962 -0.0240964  55000 
 4.84465  0.0240964  55000 
 4.8497  0.0722892  55000 
 4.85475  0.120482  55000 
 4.85859  0.156961  55000 
 4.85977  0.168675  55000 
 4.86462  0.216867  55000 
 4.86949  0.26506  55000 
 4.87437  0.313253  55000 
 4.87926  0.361446  55000 
 4.88416  0.409639  55000 
 4.88906  0.457831  55000 
 4.89398  0.506024  55000 
 4.89891  0.554217  55000 
 4.90385  0.60241  55000 
 4.9088  0.650602  55000 
 4.91376  0.698795  55000 
 4.91873  0.746988  55000 
 4.9237  0.795181  55000 
 4.92869  0.843373  55000 
 4.92929  0.849147  55000 
 4.93351  0.891566  55000 
 4.9383  0.939759  55000 
 4.9431  0.987952  55000 
 4.94792  1.03614  55000 
 4.95274  1.08434  55000 
 4.95757  1.13253  55000 
 4.96242  1.18072  55000 
 4.96727  1.22892  55000 
 4.97213  1.27711  55000 
 4.97701  1.3253  55000 
 4.98189  1.37349  55000 
 4.98678  1.42169  55000 
 4.99169  1.46988  55000 
 4.9966  1.51807  55000 
 5  1.55134  55000 


# Contour 4, label:    5e+04
