#Iter:  A:      T:      B:      fval:   size:
  00000   00001   00001   00001  1307.4     NaN
  00001       1       1     1.5  749.89   0.375
  00002 0.33333  1.8333  1.8333  647.37 0.55902
  00003 0.77778  1.2778  2.1111  584.27 0.55902
  00004 0.77778  1.2778  2.1111  584.27 0.55902
  00005 0.77778  1.2778  2.1111  584.27  0.4215
  00006 0.77778  1.2778  2.1111  584.27  0.4215
  00007  1.4047 0.85528  1.7853   578.9  0.4215
  00008  1.0458  1.3154  1.7111  573.18 0.36714
  00009  1.8332 0.94227  2.0273   490.3  0.4743
  00010  1.8332 0.94227  2.0273   490.3 0.38363
  00011  1.2499  1.4216  2.0244  487.49 0.38363
  00012  1.2499  1.4216  2.0244  487.49 0.33864
  00013  2.4475  1.1516  2.2578  467.69 0.48234
  00014  2.3905  1.3093  1.9927  352.42 0.52829
  00015  2.3905  1.3093  1.9927  352.42 0.52829
  00016  2.3905  1.3093  1.9927  352.42 0.52829
  00017    3.18  1.9685  1.8797  188.45 0.60271
  00018    3.18  1.9685  1.8797  188.45 0.60271
  00019    3.18  1.9685  1.8797  188.45 0.60271
  00020  4.9774  2.5798  1.4349  55.916 0.94965
  00021  4.9774  2.5798  1.4349  55.916 0.83233
  00022  4.9774  2.5798  1.4349  55.916 0.83233
  00023  4.9942  2.9404  1.1364  14.512 0.83233
  00024  4.9942  2.9404  1.1364  14.512 0.58727
  00025  5.4171  2.3647  1.3093  14.076 0.58727
  00026  5.4171  2.3647  1.3093  14.076 0.58727
  00027  5.5201  2.7392  1.0699  10.405 0.42429
  00028  4.9716  2.6028   1.185  4.6916 0.33446
  00029  4.9716  2.6028   1.185  4.6916 0.33446
  00030  4.9716  2.6028   1.185  4.6916 0.33446
  00031  4.9716  2.6028   1.185  4.6916  0.3087
  00032  4.9716  2.6028   1.185  4.6916  0.3087
  00033  5.1988  2.7092  1.0543  3.4925  0.2921
  00034  5.0245  2.8481  1.0431  3.2545 0.20564
  00035  5.0245  2.8481  1.0431  3.2545 0.15452
  00036  5.0245  2.8481  1.0431  3.2545 0.12059
  00037  5.1535   2.719  1.0722  3.0499 0.11469
  00038  5.1589  2.7065   1.091  3.0013 0.093322
  00039  5.1589  2.7065   1.091  3.0013 0.082891
  00040  5.1589  2.7065   1.091  3.0013 0.04889
  00041   5.131  2.7266  1.0783  2.9832 0.045296
  00042   5.131  2.7266  1.0783  2.9832 0.032743
  00043  5.1091  2.7211  1.0896  2.9829 0.027486
  00044  5.1365  2.7193  1.0863  2.9721 0.019224
  00045  5.1365  2.7193  1.0863  2.9721 0.019224
  00046  5.1312  2.7194  1.0839   2.972 0.017964
  00047  5.1312  2.7194  1.0839   2.972 0.013614
  00048  5.1215  2.7294  1.0831  2.9708 0.0080278
  00049  5.1215  2.7294  1.0831  2.9708 0.0080278
  00050   5.133  2.7226  1.0844  2.9698 0.006997
  00051   5.133  2.7226  1.0844  2.9698 0.0063503
  00052   5.133  2.7226  1.0844  2.9698 0.005418
  00053  5.1267  2.7268  1.0831  2.9697 0.0032571
  00054  5.1306  2.7243  1.0832  2.9696 0.0031405
  00055  5.1306  2.7243  1.0832  2.9696 0.0031405
  00056  5.1307  2.7235  1.0841  2.9695 0.0025505
  00057  5.1307  2.7235  1.0841  2.9695 0.0025505
  00058  5.1307  2.7235  1.0841  2.9695 0.0022036
  00059  5.1307  2.7235  1.0841  2.9695 0.0013752
  00060  5.1302   2.724  1.0836  2.9695 0.0012863
  00061  5.1297  2.7242  1.0838  2.9695 0.00093315
  00062    5.13  2.7231  1.0843  2.9695 0.00063203
  00063    5.13  2.7231  1.0843  2.9695 0.00054675
  00064  5.1301  2.7238  1.0838  2.9695 0.00050624
  00065  5.1299  2.7239  1.0839  2.9695 0.00037988
  00066  5.1302  2.7236   1.084  2.9695 0.00035814
  00067    5.13  2.7235  1.0841  2.9695 0.00022183
  00068    5.13  2.7235  1.0841  2.9695 0.00019949
  00069    5.13  2.7235  1.0841  2.9695 0.00019949
  00070  5.1301  2.7236   1.084  2.9695 0.00015836
  00071  5.1301  2.7236   1.084  2.9695 0.00014408
  00072  5.1301  2.7236   1.084  2.9695 0.00011157
  00073  5.1301  2.7235   1.084  2.9695 0.00010558
  00074  5.1301  2.7235   1.084  2.9695 7.081e-05


#t:       f:
      0  6.2141
    0.1  6.0292
    0.2  5.8509
    0.3  5.6791
    0.4  5.5134
    0.5  5.3537
    0.6  5.1998
    0.7  5.0514
    0.8  4.9084
    0.9  4.7705
      1  4.6376
    1.1  4.5095
    1.2   4.386
    1.3  4.2669
    1.4  4.1522
    1.5  4.0416
    1.6   3.935
    1.7  3.8322
    1.8  3.7331
    1.9  3.6376
      2  3.5455
    2.1  3.4568
    2.2  3.3713
    2.3  3.2888
    2.4  3.2093
    2.5  3.1327
    2.6  3.0588
    2.7  2.9876
    2.8   2.919
    2.9  2.8529
      3  2.7891
    3.1  2.7276
    3.2  2.6684
    3.3  2.6112
    3.4  2.5562
    3.5  2.5031
    3.6   2.452
    3.7  2.4026
    3.8  2.3551
    3.9  2.3093
      4  2.2651
    4.1  2.2225
    4.2  2.1815
    4.3  2.1419
    4.4  2.1038
    4.5   2.067
    4.6  2.0316
    4.7  1.9974
    4.8  1.9645
    4.9  1.9327
      5  1.9021
    5.1  1.8727
    5.2  1.8442
    5.3  1.8168
    5.4  1.7904
    5.5  1.7649
    5.6  1.7404
    5.7  1.7167
    5.8  1.6939
    5.9  1.6719
      6  1.6507
    6.1  1.6303
    6.2  1.6106
    6.3  1.5916
    6.4  1.5733
    6.5  1.5557
    6.6  1.5387
    6.7  1.5223
    6.8  1.5065
    6.9  1.4913
      7  1.4766
    7.1  1.4624
    7.2  1.4488
    7.3  1.4356
    7.4   1.423
    7.5  1.4107
    7.6   1.399
    7.7  1.3876
    7.8  1.3767
    7.9  1.3661
      8  1.3559
    8.1  1.3461
    8.2  1.3367
    8.3  1.3276
    8.4  1.3188
    8.5  1.3103
    8.6  1.3022
    8.7  1.2943
    8.8  1.2867
    8.9  1.2794
      9  1.2724
    9.1  1.2656
    9.2  1.2591
    9.3  1.2527
    9.4  1.2467
    9.5  1.2408
    9.6  1.2351
    9.7  1.2297
    9.8  1.2244
    9.9  1.2194
     10  1.2145
