
# Surface 0 of 1 surfaces

# Curve title: "f(x,y)"

# IsoCurve 0, 100 points
# x y z type
-5 -5  90036 i
-4.89899 -5  84135.4 i
-4.79798 -5  78549.1 i
-4.69697 -5  73265.1 i
-4.59596 -5  68271.6 i
-4.49495 -5  63557.2 i
-4.39394 -5  59110.7 i
-4.29293 -5  54921 i
-4.19192 -5  50977.3 i
-4.09091 -5  47269.3 i
-3.9899 -5  43786.6 i
-3.88889 -5  40519.3 i
-3.78788 -5  37457.5 i
-3.68687 -5  34591.9 i
-3.58586 -5  31913.2 i
-3.48485 -5  29412.4 i
-3.38384 -5  27080.7 i
-3.28283 -5  24909.6 i
-3.18182 -5  22890.9 i
-3.08081 -5  21016.7 i
-2.9798 -5  19279 i
-2.87879 -5  17670.6 i
-2.77778 -5  16184.1 i
-2.67677 -5  14812.4 i
-2.57576 -5  13549 i
-2.47475 -5  12387.2 i
-2.37374 -5  11320.9 i
-2.27273 -5  10344 i
-2.17172 -5  9450.82 i
-2.07071 -5  8635.8 i
-1.9697 -5  7893.74 i
-1.86869 -5  7219.62 i
-1.76768 -5  6608.7 i
-1.66667 -5  6056.49 i
-1.56566 -5  5558.74 i
-1.46465 -5  5111.45 i
-1.36364 -5  4710.87 i
-1.26263 -5  4353.5 i
-1.16162 -5  4036.1 i
-1.06061 -5  3755.67 i
-0.959596 -5  3509.46 i
-0.858586 -5  3294.97 i
-0.757576 -5  3109.95 i
-0.656566 -5  2952.41 i
-0.555556 -5  2820.59 i
-0.454545 -5  2713 i
-0.353535 -5  2628.38 i
-0.252525 -5  2565.74 i
-0.151515 -5  2524.34 i
-0.0505051 -5  2503.65 i
 0.0505051 -5  2503.45 i
 0.151515 -5  2523.73 i
 0.252525 -5  2564.73 i
 0.353535 -5  2626.97 i
 0.454545 -5  2711.18 i
 0.555556 -5  2818.37 i
 0.656566 -5  2949.78 i
 0.757576 -5  3106.92 i
 0.858586 -5  3291.53 i
 0.959596 -5  3505.62 i
 1.06061 -5  3751.43 i
 1.16162 -5  4031.45 i
 1.26263 -5  4348.45 i
 1.36364 -5  4705.41 i
 1.46465 -5  5105.59 i
 1.56566 -5  5552.48 i
 1.66667 -5  6049.83 i
 1.76768 -5  6601.63 i
 1.86869 -5  7212.15 i
 1.9697 -5  7885.86 i
 2.07071 -5  8627.52 i
 2.17172 -5  9442.13 i
 2.27273 -5  10334.9 i
 2.37374 -5  11311.4 i
 2.47475 -5  12377.3 i
 2.57576 -5  13538.7 i
 2.67677 -5  14801.7 i
 2.77778 -5  16173 i
 2.87879 -5  17659.1 i
 2.9798 -5  19267.1 i
 3.08081 -5  21004.3 i
 3.18182 -5  22878.2 i
 3.28283 -5  24896.5 i
 3.38384 -5  27067.1 i
 3.48485 -5  29398.4 i
 3.58586 -5  31898.9 i
 3.68687 -5  34577.2 i
 3.78788 -5  37442.4 i
 3.88889 -5  40503.7 i
 3.9899 -5  43770.6 i
 4.09091 -5  47252.9 i
 4.19192 -5  50960.5 i
 4.29293 -5  54903.8 i
 4.39394 -5  59093.1 i
 4.49495 -5  63539.3 i
 4.59596 -5  68253.2 i
 4.69697 -5  73246.3 i
 4.79798 -5  78529.9 i
 4.89899 -5  84115.8 i
 5 -5  90016 i

# IsoCurve 1, 100 points
# x y z type
-5 -4.95984  89795.2 i
-4.89899 -4.95984  83902.6 i
-4.79798 -4.95984  78324.2 i
-4.69697 -4.95984  73047.9 i
-4.59596 -4.95984  68062 i
-4.49495 -4.95984  63354.9 i
-4.39394 -4.95984  58915.6 i
-4.29293 -4.95984  54732.9 i
-4.19192 -4.95984  50796.2 i
-4.09091 -4.95984  47094.9 i
-3.9899 -4.95984  43618.7 i
-3.88889 -4.95984  40357.8 i
-3.78788 -4.95984  37302.3 i
-3.68687 -4.95984  34442.8 i
-3.58586 -4.95984  31769.9 i
-3.48485 -4.95984  29274.8 i
-3.38384 -4.95984  26948.7 i
-3.28283 -4.95984  24783 i
-3.18182 -4.95984  22769.6 i
-3.08081 -4.95984  20900.4 i
-2.9798 -4.95984  19167.7 i
-2.87879 -4.95984  17564 i
-2.77778 -4.95984  16082.1 i
-2.67677 -4.95984  14714.9 i
-2.57576 -4.95984  13455.7 i
-2.47475 -4.95984  12298.1 i
-2.37374 -4.95984  11235.7 i
-2.27273 -4.95984  10262.5 i
-2.17172 -4.95984  9372.93 i
-2.07071 -4.95984  8561.36 i
-1.9697 -4.95984  7822.58 i
-1.86869 -4.95984  7151.57 i
-1.76768 -4.95984  6543.61 i
