#Iter:  x:      y:      fval:   size:
  00000      -4       3   16925     NaN
  00001   -3.85    3.15   13648 0.088192
  00002  -3.625   3.025   10254 0.13642
  00003 -3.4125  3.2625  7046.4 0.20327
  00004 -2.8563  3.1312  2541.9 0.33837
  00005 -2.1531  3.5406  129.92 0.54283
  00006 -1.5969  3.4094  80.595 0.54283
  00007 -1.5969  3.4094  80.595 0.33837
  00008 -1.5969  3.4094  80.595 0.26354
  00009 -1.8832  3.5129  8.4255 0.14272
  00010 -1.8832  3.5129  8.4255 0.14272
  00011 -1.8832  3.5129  8.4255 0.089991
  00012 -1.8832  3.5129  8.4255 0.070927
  00013 -1.8832  3.5129  8.4255 0.065296
  00014 -1.8499  3.4354  8.1394 0.063811
  00015 -1.8499  3.4354  8.1394 0.043674
  00016 -1.8499  3.4354  8.1394 0.041051
  00017 -1.8347  3.3389  8.1099 0.067264
  00018 -1.7815  3.1655   7.743 0.11544
  00019 -1.7815  3.1655   7.743 0.11544
  00020 -1.6521  2.6741  7.3409  0.2203
  00021 -1.6179  2.6214  6.8548 0.25496
  00022 -1.6179  2.6214  6.8548 0.25496
  00023 -1.3555  1.7788  5.8902  0.3618
  00024 -1.3555  1.7788  5.8902  0.3618
  00025 -1.2223  1.4276  5.3812  0.3618
  00026 -1.2223  1.4276  5.3812  0.2244
  00027 -1.2029  1.4889  5.0293 0.24146
  00028 -1.2029  1.4889  5.0293 0.24146
  00029 -0.91717 0.84793  3.6801 0.30015
  00030 -0.91717 0.84793  3.6801 0.28998
  00031 -0.91717 0.84793  3.6801 0.17204
  00032 -0.91717 0.84793  3.6801 0.17204
  00033 -0.74132 0.47087  3.6512 0.17204
  00034 -0.74105 0.58404  3.1529 0.17844
  00035 -0.74105 0.58404  3.1529 0.097779
  00036 -0.74105 0.58404  3.1529 0.068586
  00037 -0.59805 0.33072  2.6263 0.13454
  00038 -0.48222  0.2654   2.305 0.17347
  00039 -0.43967 0.15508  2.2188 0.098658
  00040 -0.18674 -0.030729  1.8387 0.17873
  00041 -0.18674 -0.030729  1.8387 0.14247
  00042 -0.14478 -0.022017  1.4952 0.14247
  00043 -0.14478 -0.022017  1.4952 0.072829
  00044 -0.14478 -0.022017  1.4952 0.072829
  00045 -0.013357 -0.054313  1.3238 0.10845
  00046 -0.013357 -0.054313  1.3238 0.072315
  00047 0.030388 -0.0079939  0.9481 0.086699
  00048 0.030388 -0.0079939  0.9481 0.048853
  00049 0.030388 -0.0079939  0.9481 0.044694
  00050 0.15581 0.024793 0.71269 0.077642
  00051 0.15581 0.024793 0.71269 0.077642
  00052 0.15581 0.024793 0.71269 0.044694
  00053 0.15581 0.024793 0.71269 0.029245
  00054 0.27748 0.042897  0.6383 0.055846
  00055 0.30497 0.088082 0.48549 0.070068
  00056 0.30497 0.088082 0.48549 0.039712
  00057 0.30497 0.088082 0.48549 0.038133
  00058 0.39687 0.15954 0.36418 0.068188
  00059 0.39687 0.15954 0.36418 0.068188
  00060 0.47833 0.20248 0.34137 0.038133
  00061 0.43098 0.19287 0.32886 0.038133
